"","state","lng","lat"
"1","AC",-68.4518519482381,-9.70255504119734
"2","AL",-36.0520167775748,-9.59972896637983
"3","AM",-60.537429655654,-3.34933630415869
"4","AP",-51.2343044975123,0.0860251897163231
"5","BA",-39.5606486960306,-13.0493608693257
"6","CE",-39.0041397633379,-4.36315122962809
"7","DF",-47.9696304527027,-15.8108847590011
"8","ES",-40.5031832232249,-20.1051453241873
"9","GO",-49.3341950280632,-16.5776445842376
"10","MA",-44.8186268933353,-3.79899667016713
"11","MG",-44.4216150659079,-19.8646472791171
"12","MS",-54.5321403154942,-20.7650057632849
"13","MT",-55.7089558240193,-14.1564816523556
"14","PA",-49.4858616770825,-2.63121306653423
"15","PB",-35.821678258393,-7.08829790924903
"16","PE",-35.7588655556395,-8.17909840390421
"17","PI",-42.5095414937748,-5.75498872606157
"18","PR",-50.8796624431511,-24.7936066766233
"19","RJ",-43.1555402683026,-22.7434773216696
"20","RN",-35.9900786251383,-5.85670206422521
"21","RO",-62.7205785486021,-10.3412891256471
"22","RR",-60.6728655470966,2.71710046442389
"23","RS",-52.032651631715,-29.6791906232825
"24","SC",-49.6179368726889,-27.2224858265835
"25","SE",-37.1811690379464,-10.8661994076433
"26","SP",-47.0840736716131,-23.1553083461729
"27","TO",-48.3486610620266,-9.50370037087663
